pr_dpcode,brcode,parqty,sh_daysmin,sd_t_qty_30,on_promotion,Parqty_Cal,Parqty_Adj
19,2.0,8,162,2.0,0.0,2.0,3
8,5.0,6,292,5.0,0.0,5.0,6
19,0.0,4,245,0.0,0.0,0.0,6
1,30.0,12,365,37.0,1.25,30.0,31
19,2.0,6,472,2.0,0.0,2.0,6
1,7.0,3,1825,11.0,0.0,7.0,7
8,2.0,6,643,2.0,0.0,2.0,6
14,0.0,2,658,0.0,1.25,0.0,8
19,6.0,15,25,19.0,0.0,6.0,6
2,9.0,7,212,7.0,1.25,9.0,9
14,16.0,20,657,16.0,0.0,16.0,16
19,5.0,6,365,4.0,1.25,5.0,8
8,0.0,4,324,0.0,0.0,0.0,6
19,1.0,3,90,1.0,0.0,1.0,3
19,0.0,6,256,0.0,0.0,0.0,6
5,1.0,6,903,1.0,0.0,1.0,6
19,2.0,3,49,3.0,0.0,2.0,3
1,1.0,3,365,1.0,0.0,1.0,6
19,1.0,6,180,1.0,0.0,1.0,3
23,5.0,20,11,23.0,0.0,5.0,3
19,0.0,3,17,0.0,0.0,0.0,3
23,0.0,3,30,0.0,0.0,0.0,3
19,2.0,5,25,7.0,0.0,2.0,3
20,9.0,6,270,9.0,0.0,9.0,9
28,8.0,8,360,8.0,0.0,8.0,8
9,20.0,9,657,16.0,1.25,20.0,20
22,2.0,10,324,2.0,0.0,2.0,3
19,0.0,4,465,0.0,0.0,0.0,6
19,0.0,6,295,0.0,0.0,0.0,6
8,0.0,3,300,0.0,0.0,0.0,6
9,2.0,8,1095,2.0,0.0,2.0,6
14,13.0,18,658,13.0,0.0,13.0,13
9,2.0,4,657,2.0,0.0,2.0,6
27,0.0,1,90,0.0,0.0,0.0,3
22,57.0,50,479,57.0,0.0,57.0,57
20,5.0,6,295,5.0,0.0,5.0,6
2,0.0,4,100,0.0,1.25,0.0,8
5,2.0,3,700,2.0,0.0,2.0,6
9,5.0,4,658,5.0,0.0,5.0,6
10,12.0,13,354,12.0,0.0,12.0,12
28,0.0,14,120,0.0,0.0,0.0,6
2,8.0,6,292,8.0,0.0,8.0,8
28,3.0,6,90,4.0,0.0,3.0,3
1,5.0,15,584,7.0,0.0,5.0,5
3,4.0,8,210,4.0,0.0,4.0,6
6,6.0,6,180,5.0,1.25,6.0,8
21,0.0,10,27,1.0,0.0,0.0,3
14,42.0,32,658,42.0,0.0,42.0,42
28,4.0,4,135,4.0,0.0,4.0,3
1,1.0,3,1278,2.0,0.0,1.0,6
5,2.0,7,876,2.0,0.0,2.0,6
10,1.0,6,658,1.0,1.25,1.0,8
10,5.0,6,742,5.0,0.0,5.0,6
2,1.0,2,421,1.0,1.25,1.0,8
20,1.0,4,441,1.0,0.0,1.0,6
1,0.0,3,1095,0.0,0.0,0.0,6
28,1.0,4,180,1.0,0.0,1.0,6
14,20.0,15,2190,16.0,1.25,20.0,20
2,4.0,2,166,4.0,0.0,4.0,6
11,0.0,2,658,0.1,0.0,0.0,6
9,2.0,6,1095,2.0,0.0,2.0,6
20,21.0,36,290,21.0,0.0,21.0,21
1,5.0,6,180,6.0,1.25,5.0,5
5,19.0,30,655,19.0,0.0,19.0,19
23,2.0,5,16,6.0,0.0,2.0,3
5,82.0,87,365,82.0,0.0,82.0,82
10,7.0,6,511,7.0,0.0,7.0,7
2,4.0,9,274,3.0,1.25,4.0,8
3,1.0,4,604,1.0,1.25,1.0,8
9,0.0,6,730,0.0,0.0,0.0,6
1,1.0,4,365,2.0,0.0,1.0,6
8,0.0,4,292,0.0,0.0,0.0,6
28,6.0,8,120,6.0,0.0,6.0,6
8,4.0,8,220,4.0,0.0,4.0,6
9,4.0,4,540,4.0,0.0,4.0,6
28,1.0,4,225,1.0,0.0,1.0,3
1,11.0,12,180,16.0,0.0,11.0,11
22,1.0,4,270,1.0,1.25,1.0,4
2,5.0,4,252,5.0,0.0,5.0,6
28,1.0,4,360,1.0,0.0,1.0,6
2,3.0,4,300,3.0,0.0,3.0,6
5,0.0,6,301,0.0,0.0,0.0,6
5,4.0,8,154,4.0,0.0,4.0,6
19,3.0,4,200,3.0,0.0,3.0,3
9,4.0,9,658,4.0,0.0,4.0,6
28,1.0,4,120,1.0,0.0,1.0,6
9,7.0,6,658,7.0,0.0,7.0,7
9,10.0,24,658,10.0,0.0,10.0,10
19,1.0,6,405,1.0,0.0,1.0,6
19,1.0,12,720,1.0,0.0,1.0,6
1,0.0,3,365,0.0,0.0,0.0,6
2,56.0,30,308,56.0,0.0,56.0,56
28,1.0,4,900,1.0,0.0,1.0,6
20,1.0,12,180,1.0,0.0,1.0,6
9,11.0,14,1095,9.0,1.25,11.0,11
9,0.0,4,692,0.0,0.0,0.0,6
20,5.0,6,295,4.0,1.25,5.0,8
8,4.0,4,400,3.0,1.25,4.0,8
8,3.0,3,924,3.0,0.0,3.0,6
28,8.0,14,270,8.0,0.0,8.0,8
8,0.0,6,720,0.0,0.0,0.0,6
4,4.0,7,360,4.0,0.0,4.0,6
18,7.0,13,76,11.0,0.0,7.0,7
8,10.0,7,167,10.0,0.0,10.0,10
19,2.0,4,256,2.0,0.0,2.0,6
8,12.0,7,646,12.0,0.0,12.0,12
21,3.0,6,180,3.0,0.0,3.0,3
19,0.0,10,240,0.0,0.0,0.0,3
10,0.0,4,658,0.0,0.0,0.0,6
8,1.0,6,120,1.0,0.0,1.0,6
9,3.0,6,658,2.0,1.25,3.0,8
1,0.0,3,1000,0.0,0.0,0.0,6
9,5.0,6,658,5.0,0.0,5.0,6
8,1.0,8,540,1.0,0.0,1.0,6
2,3.0,4,300,2.0,1.25,3.0,8
1,0.0,3,365,0.0,0.0,0.0,6
19,0.0,6,511,0.0,0.0,0.0,6
5,1.0,3,383,1.0,0.0,1.0,6
19,2.0,6,730,2.0,0.0,2.0,6
28,1.0,3,32,3.0,0.0,1.0,3
2,1.0,6,255,1.0,0.0,1.0,6
2,0.0,2,325,0.0,0.0,0.0,6
2,1.0,6,255,1.0,0.0,1.0,6
28,2.0,4,270,2.0,0.0,2.0,6
8,15.0,8,530,12.0,1.25,15.0,15
3,0.0,4,365,0.0,0.0,0.0,6
19,8.0,6,365,6.0,1.25,8.0,8
19,1.0,6,511,1.0,0.0,1.0,6
9,3.0,8,658,2.0,1.25,3.0,8
6,1.0,6,90,2.0,1.25,1.0,8
1,0.0,3,329,0.0,0.0,0.0,6
19,2.0,12,328,2.0,0.0,2.0,6
2,4.0,8,310,4.0,0.0,4.0,6
12,15.0,30,517,15.0,0.0,15.0,15
8,13.0,14,481,13.0,0.0,13.0,13
8,5.0,6,539,4.0,1.25,5.0,8
20,3.0,24,310,2.0,1.25,3.0,8
8,2.0,4,656,2.0,0.0,2.0,6
2,3.0,6,180,2.0,1.25,3.0,8
28,5.0,4,180,5.0,0.0,5.0,6
19,1.0,6,365,1.0,1.25,1.0,8
8,1.0,6,588,1.0,1.25,1.0,8
1,0.0,3,240,0.0,0.0,0.0,6
2,6.0,12,294,5.0,1.25,6.0,8
9,1.0,7,658,1.0,0.0,1.0,6
19,1.0,6,1460,1.0,0.0,1.0,6
5,4.0,11,250,4.0,0.0,4.0,6
5,9.0,8,307,9.0,0.0,9.0,9
9,9.0,6,1095,9.0,0.0,9.0,9
22,0.0,3,180,0.0,0.0,0.0,3
8,0.0,6,973,0.0,0.0,0.0,6
1,1.0,6,328,1.0,0.0,1.0,6
8,5.0,4,425,4.0,1.25,5.0,8
25,0.0,3,500,0.0,0.0,0.0,6
1,0.0,3,329,0.0,0.0,0.0,6
3,3.0,6,655,3.0,0.0,3.0,6
1,0.0,3,300,0.0,0.0,0.0,6
23,4.0,3,19,11.0,0.0,4.0,3
8,4.0,6,985,4.0,0.0,4.0,6
2,7.0,12,336,7.0,0.0,7.0,7
1,5.0,6,3650,7.0,0.0,5.0,5
1,4.0,6,360,6.0,0.0,4.0,4
9,3.0,9,756,3.0,0.0,3.0,6
1,0.0,3,365,0.0,0.0,0.0,6
5,1.0,3,730,1.0,0.0,1.0,6
11,0.0,3,658,0.46,0.0,0.0,6
3,8.0,10,270,8.0,0.0,8.0,8
2,4.0,8,240,4.0,0.0,4.0,6
6,0.0,7,634,0.0,0.0,0.0,6
23,3.0,3,18,9.0,0.0,3.0,3
5,37.0,60,299,37.0,0.0,37.0,37
19,0.0,6,438,0.0,0.0,0.0,6
8,0.0,4,846,0.0,0.0,0.0,6
5,1.0,4,300,1.0,0.0,1.0,6
12,0.0,4,438,0.0,0.0,0.0,6
8,25.0,23,304,25.0,0.0,25.0,25
10,0.0,6,658,0.0,1.25,0.0,8
5,1.0,3,500,1.0,0.0,1.0,6
20,11.0,9,180,9.0,1.25,11.0,11
5,5.0,4,387,5.0,0.0,5.0,6
21,4.0,5,108,3.0,1.25,4.0,4
19,2.0,6,981,2.0,0.0,2.0,6
23,16.0,10,150,16.0,0.0,16.0,16
8,2.0,6,274,2.0,0.0,2.0,6
2,13.0,24,452,13.0,0.0,13.0,13
10,8.0,4,658,6.0,1.25,8.0,8
2,18.0,12,316,18.0,0.0,18.0,18
1,15.0,18,329,22.0,0.0,15.0,15
19,8.0,6,256,8.0,0.0,8.0,8
28,3.0,4,182,3.0,0.0,3.0,6
9,5.0,6,730,5.0,0.0,5.0,6
1,9.0,12,365,13.0,0.0,9.0,9
19,1.0,6,365,1.0,0.0,1.0,6
23,8.0,3,13,36.0,0.0,8.0,8
9,2.0,6,365,2.0,0.0,2.0,6
3,2.0,12,196,2.0,0.0,2.0,6
6,5.0,7,576,5.0,0.0,5.0,6
2,15.0,12,189,15.0,0.0,15.0,15
8,7.0,18,180,7.0,0.0,7.0,7
9,1.0,4,658,1.0,0.0,1.0,6
9,8.0,6,658,6.0,1.25,8.0,8
22,0.0,2,540,0.0,0.0,0.0,3
5,6.0,10,190,6.0,0.0,6.0,6
2,10.0,12,407,10.0,0.0,10.0,10
19,0.0,4,330,0.0,0.0,0.0,6
21,8.0,8,15,25.0,0.0,8.0,8
20,1.0,6,250,1.0,1.25,1.0,8
1,0.0,3,360,0.0,0.0,0.0,6
5,2.0,6,100,2.0,0.0,2.0,6
23,14.0,8,274,14.0,0.0,14.0,14
2,3.0,12,180,2.0,1.25,3.0,8
9,2.0,6,730,2.0,0.0,2.0,6
28,1.0,4,240,1.0,0.0,1.0,6
8,46.0,30,321,46.0,0.0,46.0,46
2,0.0,3,256,0.0,0.0,0.0,6
8,4.0,6,180,4.0,0.0,4.0,6
20,8.0,6,325,8.0,0.0,8.0,8
19,0.0,4,290,0.0,0.0,0.0,6
19,3.0,6,365,3.0,0.0,3.0,6
2,8.0,6,184,6.0,1.25,8.0,8
2,0.0,2,455,0.0,0.0,0.0,6
19,6.0,6,256,6.0,0.0,6.0,6
8,0.0,4,120,0.0,1.25,0.0,8
9,16.0,10,658,16.0,0.0,16.0,16
8,0.0,3,974,0.0,0.0,0.0,6
8,0.0,4,412,0.0,0.0,0.0,6
9,3.0,6,1095,2.0,1.25,3.0,8
19,15.0,12,720,15.0,0.0,15.0,15
28,3.0,10,30,10.0,0.0,3.0,6
1,7.0,6,240,11.0,0.0,7.0,7
23,3.0,17,16,10.0,0.0,3.0,3
28,2.0,4,135,2.0,0.0,2.0,3
10,3.0,11,658,3.0,0.0,3.0,6
8,2.0,6,180,2.0,0.0,2.0,6
1,0.0,3,1825,0.0,0.0,0.0,6
10,0.0,4,657,0.0,0.0,0.0,6
2,4.0,10,382,4.0,0.0,4.0,6
8,5.0,4,580,4.0,1.25,5.0,8
9,1.0,6,511,1.0,0.0,1.0,6
19,1.0,7,19,3.0,0.0,1.0,3
8,3.0,6,373,3.0,0.0,3.0,6
5,5.0,3,241,4.0,1.25,5.0,8
1,13.0,6,317,19.0,0.0,13.0,13
5,15.0,6,600,12.0,1.25,15.0,15
8,0.0,7,255,0.0,0.0,0.0,6
20,0.0,4,25,1.0,0.0,0.0,3
19,1.0,4,490,1.0,0.0,1.0,6
14,11.0,15,2190,9.0,1.25,11.0,11
9,3.0,4,1095,2.0,1.25,3.0,8
1,0.0,4,1095,0.0,0.0,0.0,6
3,0.0,2,192,0.0,0.0,0.0,6
2,21.0,61,327,21.0,0.0,21.0,21
20,33.0,24,180,26.0,1.25,33.0,33
5,22.0,24,315,22.0,0.0,22.0,22
28,13.0,10,135,13.0,0.0,13.0,13
2,1.0,6,216,1.0,1.25,1.0,8
8,0.0,6,432,0.0,0.0,0.0,6
28,0.0,4,180,0.0,0.0,0.0,6
23,17.0,7,120,17.0,0.0,17.0,17
22,0.0,6,216,0.0,0.0,0.0,3
10,4.0,6,657,4.0,0.0,4.0,6
20,0.0,6,292,0.0,0.0,0.0,6
23,103.0,80,11,309.0,0.0,103.0,72
2,1.0,8,90,2.0,0.0,1.0,6
1,1.0,3,329,1.0,0.0,1.0,6
10,0.0,6,1277,0.0,0.0,0.0,6
1,1.0,3,360,2.0,0.0,1.0,6
8,3.0,12,1072,3.0,0.0,3.0,6
5,0.0,3,140,0.0,1.25,0.0,8
2,13.0,18,240,13.0,0.0,13.0,13
20,1.0,4,35,3.0,0.0,1.0,3
1,0.0,3,730,0.0,0.0,0.0,6
12,3.0,3,365,2.0,1.25,3.0,8
5,4.0,3,295,3.0,1.25,4.0,8
8,2.0,6,400,2.0,0.0,2.0,6
23,4.0,5,162,4.0,0.0,4.0,3
28,1.0,4,300,1.0,0.0,1.0,6
6,14.0,12,480,11.0,1.25,14.0,14
8,5.0,13,317,5.0,0.0,5.0,6
21,14.0,6,200,14.0,0.0,14.0,14
6,17.0,18,980,17.0,0.0,17.0,17
19,7.0,15,170,7.0,0.0,7.0,7
23,3.0,5,120,3.0,0.0,3.0,3
9,0.0,4,756,0.0,1.25,0.0,8
10,1.0,6,1985,1.0,0.0,1.0,6
3,33.0,24,820,33.0,0.0,33.0,33
2,12.0,9,714,12.0,0.0,12.0,12
5,9.0,20,297,9.0,0.0,9.0,9
23,0.0,10,23,0.0,0.0,0.0,3
1,0.0,3,3600,0.0,0.0,0.0,6
2,5.0,2,295,5.0,0.0,5.0,6
14,0.0,2,439,0.0,0.0,0.0,6
8,2.0,9,354,2.0,0.0,2.0,6
10,0.0,6,1085,0.0,0.0,0.0,6
23,7.0,4,120,7.0,0.0,7.0,7
22,8.0,4,305,8.0,0.0,8.0,8
8,1.0,6,365,1.0,0.0,1.0,6
2,0.0,6,139,0.0,0.0,0.0,6
28,0.0,4,360,0.0,1.25,0.0,4
12,10.0,40,365,10.0,0.0,10.0,10
20,5.0,7,274,5.0,0.0,5.0,6
19,0.0,4,365,0.0,0.0,0.0,6
10,6.0,6,658,5.0,1.25,6.0,8
6,2.0,5,536,2.0,0.0,2.0,6
2,6.0,6,272,5.0,1.25,6.0,8
19,0.0,4,327,0.0,0.0,0.0,6
1,0.0,5,365,0.0,0.0,0.0,6
8,32.0,32,453,32.0,0.0,32.0,32
21,1.0,6,25,3.0,0.0,1.0,3
5,0.0,3,300,0.0,0.0,0.0,6
19,3.0,6,1780,2.0,1.25,3.0,8
8,17.0,12,300,17.0,0.0,17.0,17
2,7.0,10,240,7.0,0.0,7.0,7
14,0.0,8,1095,0.0,0.0,0.0,6
21,2.0,3,167,2.0,0.0,2.0,3
2,5.0,12,240,5.0,0.0,5.0,6
19,4.0,5,120,4.0,0.0,4.0,3
27,0.0,3,21,0.0,0.0,0.0,3
1,1.0,3,329,1.0,0.0,1.0,6
28,0.0,6,210,0.0,0.0,0.0,3
21,5.0,3,50,6.0,1.25,5.0,4
8,3.0,4,584,2.0,1.25,3.0,8
2,11.0,12,450,9.0,1.25,11.0,11
5,17.0,36,180,17.0,0.0,17.0,17
19,0.0,6,340,0.0,0.0,0.0,6
9,6.0,4,756,6.0,0.0,6.0,6
6,0.0,6,823,0.0,0.0,0.0,6
28,9.0,8,658,9.0,0.0,9.0,9
28,3.0,4,120,3.0,0.0,3.0,6
22,71.0,18,324,71.0,0.0,71.0,71
8,0.0,4,876,0.0,0.0,0.0,6
8,2.0,4,979,2.0,0.0,2.0,6
1,1.0,3,730,1.0,0.0,1.0,6
28,58.0,8,185,58.0,0.0,58.0,58
1,0.0,3,329,0.0,0.0,0.0,6
2,0.0,2,316,0.0,0.0,0.0,6
8,6.0,4,120,5.0,1.25,6.0,8
28,14.0,10,360,14.0,0.0,14.0,14
19,0.0,12,116,0.0,0.0,0.0,3
18,15.0,24,60,22.0,0.0,15.0,15
5,1.0,6,1566,1.0,0.0,1.0,6
8,1.0,7,860,1.0,1.25,1.0,8
9,2.0,6,584,2.0,0.0,2.0,6
8,0.0,6,511,0.0,0.0,0.0,6
8,2.0,6,240,2.0,0.0,2.0,6
1,14.0,15,1825,21.0,0.0,14.0,14
23,2.0,7,11,10.0,0.0,2.0,3
8,20.0,8,511,16.0,1.25,20.0,20
23,3.0,3,26,9.0,0.0,3.0,3
10,1.0,9,324,1.0,0.0,1.0,6
3,2.0,8,289,2.0,0.0,2.0,6
5,2.0,3,730,2.0,0.0,2.0,6
9,0.0,6,1825,0.0,0.0,0.0,6
23,3.0,8,108,2.0,1.25,3.0,4
19,0.0,6,657,0.0,0.0,0.0,6
19,2.0,6,325,2.0,0.0,2.0,3
19,1.0,12,499,1.0,0.0,1.0,6
19,31.0,12,81,49.0,0.0,31.0,33
19,0.0,6,584,0.0,0.0,0.0,6
19,22.0,15,540,22.0,0.0,22.0,22
1,0.0,2,365,0.0,0.0,0.0,6
3,19.0,24,656,19.0,0.0,19.0,19
8,0.0,4,735,0.0,0.0,0.0,6
3,6.0,6,210,6.0,0.0,6.0,6
27,50.0,60,450,50.0,0.0,50.0,50
9,1.0,6,365,1.0,0.0,1.0,6
6,5.0,8,664,5.0,0.0,5.0,6
10,15.0,44,658,15.0,0.0,15.0,15
10,11.0,6,720,9.0,1.25,11.0,11
28,5.0,8,137,5.0,0.0,5.0,3
10,1.0,6,1095,1.0,0.0,1.0,6
5,1.0,3,900,1.0,0.0,1.0,6
28,4.0,6,210,4.0,0.0,4.0,3
2,26.0,14,213,21.0,1.25,26.0,26
28,4.0,8,137,4.0,0.0,4.0,3
19,1.0,5,90,1.0,0.0,1.0,3
3,16.0,24,217,16.0,0.0,16.0,16
2,3.0,2,310,3.0,0.0,3.0,6
2,1.0,4,450,1.0,1.25,1.0,8
9,0.0,6,660,0.0,1.25,0.0,8
12,117.0,94,598,115.0,0.0,117.0,115
9,2.0,6,657,2.0,0.0,2.0,6
23,0.0,5,25,0.0,1.25,0.0,4
8,8.0,12,254,8.0,0.0,8.0,8
1,0.0,6,630,0.0,0.0,0.0,6
3,0.0,4,365,0.0,0.0,0.0,6
8,7.0,8,369,7.0,0.0,7.0,7
19,1.0,5,90,1.0,0.0,1.0,3
9,6.0,12,658,6.0,0.0,6.0,6
10,10.0,6,766,8.0,1.25,10.0,10
1,0.0,3,356,0.0,0.0,0.0,6
23,6.0,3,10,25.0,0.0,6.0,6
1,14.0,7,299,17.0,1.25,14.0,14
9,16.0,12,1095,13.0,1.25,16.0,16
2,7.0,6,256,7.0,0.0,7.0,7
20,1.0,6,300,1.0,0.0,1.0,6
20,5.0,12,360,4.0,1.25,5.0,8
9,0.0,6,1825,0.0,0.0,0.0,6
20,8.0,12,180,8.0,0.0,8.0,8
5,0.0,3,265,0.0,0.0,0.0,6
2,16.0,20,126,13.0,1.25,16.0,16
20,15.0,15,240,15.0,0.0,15.0,15
2,5.0,16,322,4.0,1.25,5.0,8
8,4.0,6,362,4.0,0.0,4.0,6
2,6.0,12,300,5.0,1.25,6.0,8
20,16.0,6,219,13.0,1.25,16.0,16
1,1.0,3,360,2.0,0.0,1.0,6
2,5.0,6,166,5.0,0.0,5.0,6
25,1.0,12,658,1.0,0.0,1.0,6
10,0.0,6,511,0.0,1.25,0.0,8
5,0.0,3,60,0.0,0.0,0.0,6
8,1.0,6,180,1.0,0.0,1.0,6
9,0.0,6,766,0.0,0.0,0.0,6
19,2.0,6,275,2.0,0.0,2.0,6
1,1.0,3,730,1.0,0.0,1.0,6
9,4.0,10,658,4.0,0.0,4.0,6
10,1.0,4,1095,1.0,0.0,1.0,6
19,0.0,10,497,0.0,0.0,0.0,6
4,4.0,6,216,4.0,0.0,4.0,6
8,5.0,6,180,5.0,0.0,5.0,6
3,34.0,50,468,34.0,0.0,34.0,34
19,6.0,12,307,6.0,0.0,6.0,6
2,0.0,2,185,0.0,0.0,0.0,6
1,1.0,4,329,1.0,0.0,1.0,6
28,6.0,6,180,6.0,0.0,6.0,6
8,0.0,4,547,0.0,0.0,0.0,6
5,2.0,3,900,2.0,0.0,2.0,6
9,13.0,9,658,13.0,0.0,13.0,13
14,0.0,4,658,0.0,0.0,0.0,6
8,1.0,4,482,1.0,0.0,1.0,6
1,0.0,3,300,0.0,0.0,0.0,6
20,0.0,6,240,0.0,1.25,0.0,8
1,0.0,6,240,0.0,0.0,0.0,6
5,9.0,3,584,7.0,1.25,9.0,9
2,10.0,8,289,8.0,1.25,10.0,10
1,27.0,24,248,41.0,0.0,27.0,27
23,0.0,3,18,1.0,0.0,0.0,3
1,1.0,3,365,1.0,0.0,1.0,6
19,2.0,4,298,2.0,0.0,2.0,6
2,9.0,12,335,9.0,0.0,9.0,9
19,13.0,8,328,13.0,0.0,13.0,13
2,7.0,6,207,7.0,0.0,7.0,7
2,7.0,9,100,7.0,0.0,7.0,7
1,0.0,3,1825,0.0,0.0,0.0,6
9,3.0,6,1095,3.0,0.0,3.0,6
28,6.0,4,210,6.0,0.0,6.0,6
6,0.0,6,720,0.0,1.25,0.0,8
2,4.0,6,90,5.0,1.25,4.0,8
2,2.0,6,455,2.0,0.0,2.0,6
28,3.0,8,75,5.0,0.0,3.0,6
6,0.0,4,1153,0.0,0.0,0.0,6
28,1.0,4,400,1.0,1.25,1.0,8
1,1.0,3,329,1.0,0.0,1.0,6
2,8.0,4,365,8.0,0.0,8.0,8
2,1.0,2,151,1.0,0.0,1.0,6
9,0.0,6,365,0.0,0.0,0.0,6
28,1.0,4,720,1.0,0.0,1.0,6
28,3.0,4,60,5.0,0.0,3.0,3
3,12.0,12,260,12.0,0.0,12.0,12
19,0.0,6,340,0.0,0.0,0.0,6
19,0.0,5,365,0.0,0.0,0.0,3
2,59.0,60,157,55.0,1.25,59.0,69
8,1.0,6,120,1.0,1.25,1.0,8
2,1.0,2,270,1.0,1.25,1.0,8
8,15.0,12,180,15.0,0.0,15.0,15
28,13.0,10,40,38.0,0.0,13.0,13
8,4.0,10,417,4.0,0.0,4.0,6
2,34.0,20,185,27.0,1.25,34.0,34
28,1.0,8,180,1.0,0.0,1.0,6
3,11.0,12,210,9.0,1.25,11.0,11
5,0.0,3,720,0.0,0.0,0.0,6
8,10.0,9,471,8.0,1.25,10.0,10
8,5.0,4,342,4.0,1.25,5.0,8
1,1.0,3,2555,1.0,0.0,1.0,6
23,9.0,16,25,27.0,0.0,9.0,9
4,43.0,30,164,34.0,1.25,43.0,43
21,0.0,6,350,0.0,0.0,0.0,3
28,0.0,8,120,0.0,0.0,0.0,6
3,10.0,4,648,10.0,0.0,10.0,10
2,7.0,12,210,7.0,0.0,7.0,7
5,21.0,20,321,21.0,0.0,21.0,21
1,2.0,3,360,3.0,0.0,2.0,6
18,32.0,43,149,32.0,0.0,32.0,32
1,15.0,6,365,23.0,0.0,15.0,15
10,6.0,6,657,5.0,1.25,6.0,8
19,0.0,4,270,0.0,1.25,0.0,8
1,1.0,3,365,1.0,0.0,1.0,6
8,3.0,11,877,3.0,0.0,3.0,6
1,5.0,6,1825,8.0,0.0,5.0,5
8,1.0,7,656,1.0,0.0,1.0,6
3,2.0,6,365,2.0,0.0,2.0,6
1,0.0,3,329,0.0,0.0,0.0,6
28,0.0,6,290,0.0,0.0,0.0,6
19,1.0,6,1342,1.0,0.0,1.0,6
8,11.0,15,292,9.0,1.25,11.0,11
2,5.0,12,274,4.0,1.25,5.0,8
1,0.0,3,352,0.0,0.0,0.0,6
8,18.0,18,645,18.0,0.0,18.0,18
8,16.0,8,404,13.0,1.25,16.0,16
20,2.0,12,180,2.0,0.0,2.0,6
5,11.0,6,300,9.0,1.25,11.0,11
5,6.0,6,180,6.0,0.0,6.0,6
8,6.0,10,488,6.0,0.0,6.0,6
20,1.0,9,201,1.0,0.0,1.0,6
6,19.0,20,584,15.0,1.25,19.0,19
3,36.0,24,328,36.0,0.0,36.0,36
9,4.0,6,660,3.0,1.25,4.0,8
21,5.0,3,210,5.0,0.0,5.0,3
1,19.0,13,180,28.0,0.0,19.0,19
19,0.0,4,30,0.0,0.0,0.0,3
28,0.0,3,15,0.0,0.0,0.0,3
20,5.0,6,290,5.0,0.0,5.0,6
28,0.0,6,225,0.0,0.0,0.0,3
1,0.0,3,365,0.0,0.0,0.0,6
21,10.0,6,545,8.0,1.25,10.0,10
3,4.0,8,240,4.0,0.0,4.0,6
3,0.0,4,795,0.0,0.0,0.0,6
8,15.0,11,360,15.0,0.0,15.0,15
25,0.0,6,658,0.0,0.0,0.0,6
19,5.0,10,652,5.0,0.0,5.0,6
19,4.0,5,26,11.0,0.0,4.0,3
9,0.0,6,658,0.0,1.25,0.0,8
5,0.0,7,288,0.0,0.0,0.0,6
5,1.0,3,730,1.0,1.25,1.0,8
10,3.0,6,720,2.0,1.25,3.0,8
9,6.0,6,756,5.0,1.25,6.0,8
28,0.0,4,240,0.0,0.0,0.0,6
1,3.0,6,1825,4.0,0.0,3.0,6
9,2.0,4,658,2.0,0.0,2.0,6
22,18.0,10,305,18.0,0.0,18.0,18
19,2.0,12,19,7.0,0.0,2.0,3
5,1.0,6,360,1.0,0.0,1.0,6
2,6.0,6,180,6.0,0.0,6.0,6
2,14.0,12,365,14.0,0.0,14.0,14
9,1.0,6,730,1.0,0.0,1.0,6
2,2.0,2,270,2.0,0.0,2.0,6
19,8.0,20,322,8.0,0.0,8.0,8
19,5.0,6,24,16.0,0.0,5.0,3
19,0.0,5,7,0.0,0.0,0.0,3
1,1.0,3,329,1.0,0.0,1.0,6
10,9.0,6,365,9.0,0.0,9.0,9
10,2.0,8,658,2.0,0.0,2.0,6
3,7.0,8,636,7.0,0.0,7.0,7
19,2.0,6,850,2.0,0.0,2.0,6
3,0.0,4,1080,0.0,0.0,0.0,6
9,7.0,6,876,7.0,0.0,7.0,7
9,2.0,6,1800,2.0,0.0,2.0,6
27,0.0,2,25,0.0,0.0,0.0,3
20,1.0,12,283,1.0,0.0,1.0,6
2,11.0,8,126,9.0,1.25,11.0,11
23,1.0,4,8,4.0,0.0,1.0,3
9,0.0,4,766,0.0,0.0,0.0,6
19,10.0,12,658,8.0,1.25,10.0,10
6,14.0,10,250,11.0,1.25,14.0,14
23,2.0,5,120,2.0,0.0,2.0,3
21,1.0,5,210,1.0,0.0,1.0,3
19,4.0,5,30,12.0,0.0,4.0,3
9,12.0,9,658,12.0,0.0,12.0,12
10,13.0,13,658,13.0,0.0,13.0,13
9,0.0,4,1095,0.0,0.0,0.0,6
28,0.0,4,270,0.0,0.0,0.0,6
3,18.0,12,288,18.0,0.0,18.0,18
19,6.0,4,256,6.0,0.0,6.0,6
5,15.0,12,308,12.0,1.25,15.0,15
5,0.0,3,100,0.0,0.0,0.0,6
3,45.0,84,162,45.0,0.0,45.0,45
6,14.0,12,1377,11.0,1.25,14.0,14
10,1.0,6,504,1.0,0.0,1.0,6
2,6.0,12,135,5.0,1.25,6.0,8
28,1.0,4,130,1.0,0.0,1.0,3
23,13.0,5,219,10.0,1.25,13.0,13
21,2.0,5,25,7.0,0.0,2.0,3
3,5.0,12,180,5.0,0.0,5.0,6
8,4.0,8,216,4.0,0.0,4.0,6
19,2.0,6,657,2.0,0.0,2.0,6
6,5.0,8,1594,4.0,1.25,5.0,8
1,0.0,3,329,0.0,0.0,0.0,6
1,1.0,3,329,1.0,0.0,1.0,6
8,2.0,6,584,2.0,0.0,2.0,6
